DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F1C25F0F47FCEF77B75CC5A627AFC__1F3107EBF73F58FFC5C68C84E3B78A6AE11AC4A9, StartTime=2018.08.22-19.14.15, HierarchicalDDC=, DataSize=3565, Duration=0.009626, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionIdA009AE8EEA4ACB783202248DCB5328B8_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_CCC0A2B142A76632BAA6D68232E7184A_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2018.08.22-19.14.15, Duration=30.936338, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_CCC0A2B142A76632BAA6D68232E71__5DF67275A098416BD07FCBE3DDC237C064DC3900, StartTime=2018.08.22-19.14.15, HierarchicalDDC=, DataSize=65799, Duration=0.033882, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_CCC0A2B142A76632BAA6D68232E71__1A7EED52A3579B2A98E47CB65F6BF11F37441FAD, StartTime=2018.08.22-19.14.15, HierarchicalDDC=, DataSize=16647, Duration=0.018954, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_CCC0A2B142A76632BAA6D68232E71__18D1104CFC42EAD3B315F8699E9B5290B7ECF7E6, StartTime=2018.08.22-19.14.15, HierarchicalDDC=, DataSize=6604, Duration=0.011101, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionIdA009AE8EEA4ACB783202248DCB5328B8_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_BDE23ACE41580BE1248F76B7406FA27F_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2018.08.22-19.14.15, Duration=3.943473, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_BDE23ACE41580BE1248F76B7406FA27__146095255278A6EE60DE89ECF87712204EE7F7FA, StartTime=2018.08.22-19.14.15, HierarchicalDDC=, DataSize=131333, Duration=0.049658, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_BDE23ACE41580BE1248F76B7406FA27__FFC10BA297DBC8F4D2BF74E71DDD4563388A7508, StartTime=2018.08.22-19.14.15, HierarchicalDDC=, DataSize=33028, Duration=0.039589, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_17, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_BDE23ACE41580BE1248F76B7406FA27__8F17711B851C5077CEB6C55F681FBE0610D37B0A, StartTime=2018.08.22-19.14.15, HierarchicalDDC=, DataSize=12037, Duration=0.016615, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionIdA009AE8EEA4ACB783202248DCB5328B8_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_FC52540D4091C8BCDFACA2B862DB7EBA_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2018.08.22-19.14.15, Duration=3.535587, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
